Input,Target
La Sra. Wong tuvo 30 días de San Valentín. Ella le dio 8 tarjetas de San Valentín a sus hijos. ¿Cuántas le quedan?,X=(30.0-8.0)
Los estudiantes de tercer grado fueron a un concierto en 8 autobuses. Cada autobús llevaba 45 estudiantes. ¿Cuántos estudiantes fueron al concierto?,X=(8.0*45.0)
¿Cuántas galletas tendrías si tuvieras 37 bolsas de galletas con 19 galletas en cada bolsa?,X=(37.0*19.0)
"Hay 36 bananas En la coleccion de bananas de Diana. Si son organizadas en grupos de 6, ¿Cuan grande es cada grupo?",X=(36.0/6.0)
Un arenero tiene 312 centímetros de largo y 146 centímetros de ancho. ¿Cuántos centímetros cuadrados de tierra cubre el arenero?,X=(312.0*146.0)
Aaron comienza con 81 borradores. El le da 34 a Doris. ¿Con cuantos borradores termina Aaron?,X=(81.0-34.0)
"Si Harold dividió 15 manzanas entre 3 personas de su clase y guardó las sobras, ¿cuántas manzanas recibió cada compañero de clase?",X=(15.0/3.0)
Hayley tenía 25 albóndigas en su plato. Kirsten robó algunas de sus albóndigas. Ahora tiene 11 albóndigas en su plato. ¿Cuántas albóndigas robó Kirsten?,X=(25.0-11.0)
Lansing tiene 25 escuelas primarias. Hay 247 estudiantes en cada escuela. ¿Cuántos estudiantes de primaria hay en total en Lansing?,X=(25.0*247.0)
"Si Teresa corría 25 kilómetros a 5 kilómetros por hora, ¿cuánto tiempo corría Teresa?",X=(25.0/5.0)
Albert tiene dos serpientes. La serpiente de jardín mide 10 pulgadas de largo. La boa constrictora es 7 veces más larga que la serpiente de jardín. ¿Cuánto mide la boa constrictora?,X=(10.0*7.0)
Hay 22 naranjas en una caja. Paula toma 7 naranja. ¿Cuantas quedan?,X=(22.0-7.0)
"Tengo 224 centavos para comprar dulces. Si cada caramelo a granel cuesta 8 centavos, ¿cuántas pastillas de goma puedo comprar?",X=(224.0/8.0)
"Michael tiene 16 guardados en cajas. Si hay 8 cajas, ¿Cuantos bloques debe haber en cada caja?",X=(16.0/8.0)
La Sra. Hilt tenía 15 centavos. Compró un lápiz por 11 centavos. ¿Cuánto dinero le quedaba?,X=(15.0-11.0)
Lukas tiene un promedio de 12 puntos por juego en el baloncesto. ¿Cuántos puntos anotaría en 5 partidos?,X=(12.0*5.0)
Lucy tiene 212 peces. ¿Cuántos peces más necesita comprar para tener 280 peces?,X=(280.0-212.0)
"Las camisetas blancas se pueden comprar en paquetes de 6. Si mamá compra 71 paquetes, ¿cuántas camisetas blancas tendrá?",X=(6.0*71.0)
Harry esta invitando 3 amigos a una fiesta. El tiene 12 galletas. ¿Cuantas galletas obtendra cada amigo?,X=(12.0/3.0)
La Sra. Hilt midió la distancia desde su escritorio hasta la fuente de agua. Era de 30 pies. ¿Cuántos pies caminará la Sra. Hilt en sus viajes a la fuente si va a la fuente de agua 4 veces hoy?,X=(30.0*4.0)
Eric quiere separar su coleccion de duraznos en 8 grupos. Eric tiene 64 duraznos. ¿Cuantos grupos sera creados?,X=(64.0/8.0)
Isabel compró 900 pedazos de papel. Usó 156 trozos de papel. ¿Cuántos pedazos de papel le quedan?,X=(900.0-156.0)
"Si Charles caminaba 6 millas a 3 millas por hora, ¿cuánto tiempo viajaba?",X=(6.0/3.0)
La Sra. Hilt compró 6 perros calientes. Cada perrito caliente cuesta 50 centavos. ¿Cuánto dinero pagó por todos los perros calientes?,X=(6.0*50.0)
"Si Karen vendió 36 cajas de galletas, ¿cuántas cajas de 12 cajas recoge Karen de la madre de las galletas?",X=(36.0/12.0)
179 pájaros estaban sentados en un árbol. 38 pájaros más volaron hasta el árbol. ¿Cuántos pájaros había en total en el árbol?,X=(179.0+38.0)
Hay 4 ardillas en un árbol con 2 nueces. ¿Cuántas ardillas más hay que las nueces?,X=(4.0-2.0)
Nicholas empieza con 8 tapas de botella. Él obtiene 85 más de Catherine. ¿Con cuántas tapas de botella termina Nicholas?,X=(8.0+85.0)
Cada ticket cuesta $9.00. ¿Cuanto cuestan 4 tickets?,X=(9.0*4.0)
Zach anotó 42 puntos en el partido de fútbol. Ben anotó 21 puntos. ¿Cuántos puntos más anotó Zach?,X=(42.0-21.0)
Hay 2 manzanas en una pila en el escritorio. Cada manzana viene en un paquete de 7. Se añaden 4 manzanas a la pila. ¿Cuántas manzanas hay en la pila?,X=(2.0+4.0)
James cabalgó 80 millas a 16 millas por hora. ¿Cuánto tiempo cabalgó James?,X=(80.0/16.0)
Gloria tiene 9 cajas de entradas. Cada caja contiene 5 boletos y hay 10 cajas en un estuche. ¿Cuántos boletos tiene Gloria?,X=(9.0*5.0)
Jacqueline tiene 4 cajas de borradores. Cada caja contiene 10 borradores y hay 9 cajas en un estuche. ¿Cuántos borradores tiene Jacqueline?,X=(4.0*10.0)
Arthur horneó 115 panecillos. James horneó 12 veces más. ¿Cuántas magdalenas horneó James?,X=(115.0*12.0)
Nell colecciona tarjetas de béisbol. Tenía 304 tarjetas. Le dio algunas de sus tarjetas a Jeff y ahora le quedan 276. ¿Cuántas cartas le dio Nell a Jeff?,X=(304.0-276.0)
"Si Benjamin patinaba 80 kilómetros a 10 kilómetros por hora, ¿cuánto tiempo patinaba Benjamin?",X=(80.0/10.0)
Hay 40 niños y algunas niñas en el patio de recreo. Hay 117 niños en total. ¿Cuántas niñas hay en el patio de recreo?,X=(117.0-40.0)
"Quieres darle tus tarjetas de béisbol a tus 5 mejores amigos. Tienes 455 tarjetas de béisbol. ¿Cuántas recibiría cada uno, si las compartierais en partes iguales?",X=(455.0/5.0)
"Lori tiene 30 canicas. Si las comparte entre 5 amigos, ¿Cuantas canicas obtiene cada amigo?",X=(30.0/5.0)
"Después de una fiesta, sobran 0,625 del pastel. Esa noche, el hermano mayor se come 0.25 del pastel. ¿Cuánto sobra después de eso?",X=(0.625-0.25)
Lleva 7 minutos hornear una bandeja de galletas. ¿Cuánto tiempo llevará hornear 4 bandejas de galletas?,X=(7.0*4.0)
Hay 9 tapas de botella en cada caja. ¿Cuantas tapas de botellas hay en 6 cajas?,X=(9.0*6.0)
"Bonnie tiene 10 tickets. Si los comparte entre 2 amigos, ¿Cuantos tickets obtendra cada amigo?",X=(10.0/2.0)
Una puntuación perfecta es de 21 puntos. ¿Cuántos puntos tendrías después de 3 juegos perfectos seguidos?,X=(21.0*3.0)
William tiene 2 tapas de botellas. El compra 41 mas. ¿Cuantas tapas de botellas tndra William en total?,X=(2.0+41.0)
"John necesita 2,50 dólares. Tiene 0,75 dólares. ¿Cuánto dinero más necesita?",X=(2.5-0.75)
Jesse comienza 78 boligrafos. El le da 44 a Joshua. ¿Con cuantos lapices termina Jesse?,X=(78.0-44.0)
"Sarah tenía algunos camiones. Le dio 13 a Jeff, y ahora le quedan 38 camiones. ¿Con cuántos camiones tenía Sarah para empezar?",X=(13.0+38.0)
"Rosa tenía 67 flores. André le dio más flores. Ahora, Rosa tiene 90 flores. ¿Cuántas flores le dio Andre a Rosa?",X=(90.0-67.0)
Hay 261 peceras. Cada pecera tiene 23 peces. ¿Cuántos peces hay?,X=(261.0*23.0)
Steven quiere separar su coleccion de cartas en grupos de 6. Steven tiene 30 cartas. ¿Cuantos grupos sera creados?,X=(30.0/6.0)
"El cabello de Isabella tiene 18 pulgadas de largo. Si su pelo crece 4 pulgadas más, ¿cuán largo será?",X=(18.0+4.0)
Hay 97 borradores en una caja. Ernest tiene 17 borradores en una bolsa. Mark saca 97 borraradores de la caja. ¿Cuántos borradores quedan en la caja?,X=(97.0-97.0)
"Jesse tiene 21 bananas. Si las comparte entre 3 amigos, ¿Cuantas bananas obtendra cada amigo?",X=(21.0/3.0)
"Había 10 estudiantes en el autobús escolar. En la primera parada, 3 estudiantes se bajaron del autobús. ¿Cuántos estudiantes quedan en el autobús?",X=(10.0-3.0)
La Sra. Hilt tiene 50 centavos. Un lápiz cuesta 5 centavos. ¿Cuántos lápices puede comprar con el dinero que tiene?,X=(50.0/5.0)
Roger tiene 95 caramelos. El le da 3 a Stephanie. Cuantos caramelos tendra Roger?,X=(95.0-3.0)
Virginia comienza con 96 huevos. Amy se lleva 3. ¿Con cuantos huevos termina virginia?,X=(96.0-3.0)
Cada banana cuesta $5.00. ¿Cuanto cuentan 4 bananas?,X=(5.0*4.0)
Jeremy caminó 20 kilómetros a 2 kilómetros por hora. ¿Cuánto tiempo paseó Jeremy?,X=(20.0/2.0)
Robin tiene 9 paquetes de chicles. Hay 15 piezas en cada paquete. ¿Cuántos trozos de chicle tiene Robin?,X=(9.0*15.0)
"Rose tiene 9 manzanas y 12 gomas de borrar. Si comparte las manzanas entre 3 amigos, ¿cuántas manzanas recibe cada amigo?",X=(12.0-9.0)
Marlee tiene 12 invitados que vienen a su fiesta de Halloween. Cada mesa tendrá 3 invitados. ¿Cuántas mesas necesitará?,X=(12.0/3.0)
El payaso hizo estallar 47 globos. Luego hizo estallar 13 globos más. ¿Cuántos globos tiene el payaso ahora?,X=(47.0+13.0)
Kim tiene 4 primos. Quiere darle a cada primo 5 piezas de chicle. ¿Cuánto chicle necesitará?,X=(4.0*5.0)
Omar y Karen hicieron rollos de huevo para compartir en la comida del colegio. Omar hizo 219 rollos de huevo. Karen enrolló 229 rollos de huevo. ¿Cuál es el número total de rollos de huevo que Omar y Karen enrollaron?,X=(219.0+229.0)
"Louise tiene 42 naranjas guardadas en cajas. Si hay 7 cajas, ¿Cuantas naranjas debe haber en cada caja?",X=(42.0/7.0)
Josh tenía 142 lápices. Le dio 31 lápices a Dorothy. ¿Cuántos lápices le quedan a Josh?,X=(142.0-31.0)
Elisa tiene 37 dólares. ¿Cuántos dólares más tiene que ganar para tener 53 dólares?,X=(53.0-37.0)
Heather pesa 87 libras. Emily pesa 9 libras. Elizabeth pesa 8 libras. ¿Cuánto pesa Heather más que Emily?,X=(87.0-9.0)
Has recogido 7 grillos. ¿Cuántos grillos más necesitas recoger para tener 11 grillos?,X=(11.0-7.0)
Amanda tardó dos horas en llegar a la casa de Kimberly a 4 millas por hora. ¿A qué distancia está la casa de Amanda y la de Kimberly?,X=(2.0*4.0)
Arthur horneó 35 panecillos. ¿Cuántas magdalenas más tiene que hornear Arthur para tener 83 magdalenas?,X=(83.0-35.0)
Sarah tiene 26 tapas de botellas. Ella compra 3 mas. ¿Cuantas tapas de botellas tiene Sarah en total?,X=(26.0+3.0)
"Hay 7 estudiantes en la clase y 56 huevos. Si los huevos son dividos igualmente entre los estudiantes, ¿Cuantos obtendra cada estudiante?",X=(56.0/7.0)
Melissa tiene 88 bananas. Ella comparte 4 con Joshua. ¿Cuantas bananas tendra Melissa?,X=(88.0-4.0)
Lucy tiene un acuario con 212 peces. Quiere comprar 68 peces más. ¿Cuántos peces tendría Lucy entonces?,X=(212.0+68.0)
James cabalgó 80 millas a 16 millas por hora. ¿Cuánto tiempo cabalgó James?,X=(80.0/16.0)
La Sra. Santiago tiene 58 rosas rojas. La Sra. Garrett tiene 24. ¿Cuántas rosas rojas más tiene la Sra. Santiago que la Sra. Garrett?,X=(58.0-24.0)
José vagaba 4 kilómetros a 2 kilómetros por hora. ¿Cuánto tiempo vagó José?,X=(4.0-2.0)
"El lápiz de Isha tiene 12 pulgadas de largo. Si consigue otro lápiz de 12 pulgadas, ¿cuántas pulgadas de largo tienen ambos lápices?",X=(12.0+12.0)
Eric tiene 3 cajas de bligrafos. cada caja contiene 9 boligrafros. ¿Cuantos boligrafos tiene Eric?,X=(3.0*9.0)
Beka viajo 873 millas para visitar a su tia. Jackson viajo 563 millas a visitar a su tia. ¿Cuantas millas mas viajo Beka que Jackson?,X=(873.0-563.0)
"Tengo 80 centavos para comprar dulces. Si cada caramelo cuesta 4 centavos, ¿cuántos puedo comprar?",X=(80.0/4.0)
"64 niños iban en el autobús. En la parada del autobús, algunos niños más subieron al autobús. Entonces había 78 niños en total en el autobús. ¿Cuántos niños subieron al autobús en la parada?",X=(78.0-64.0)
Tina tiene 82 bananas. Ella obtiene 3 mas de Joyce. Cuantas bananas tendra Tina en total?,X=(82.0+3.0)
 Jane compra una manzana por $0.75 y paga con una factura de $5.00. ¿Cuánto cambio recibirá?,X=(5.0-0.75)
Heather comienza con 86 bloques. Ella comparte 41 con Jose. ¿Con cuantos bloques termina Heather?,X=(86.0-41.0)
Eugene tiene 51 lápices. Recibe 6 más de Joyce. ¿Cuántos lápices tiene Eugene en total?,X=(51.0+6.0)
Evelyn comienza con 18 botellas. She encuentra otras 63. ¿Con cuántas Botellas Evelyn termina?,X=(18.0+63.0)
Una abeja tiene 6 patas. ¿Cuántas patas tienen dos abejas?,X=(6.0*2.0)
Cade tenía 87 canicas. Le dio 8 a Dylan. ¿Cuántas le quedan?,X=(87.0-8.0)
La escuala esta planeando un dia de campo. Hay 14 estudiantes y 2 puestos en cada autobus. ¿Cuantos autobuses son necesarios para el dia de campo?,X=(14.0/2.0)
Cheryl comienza con 8 chicles. Kathryn le da a Cheryl 89 más. ¿Con cuántos chicles termina Cheryl?,X=(8.0+89.0)
Evelyn comienza 76 chicles. Ella comparte 72 con Christine. ¿Con cuantos chicles termina Evelyn?,X=(76.0-72.0)
"Peter tiene 3 dulces guardados en cajas. Si hay 3 cajas, ¿Cuantos dulces debe haber en cada caja?",X=(3.0/3.0)
Los Halcones anotaron 3 touchdowns que valen 7 puntos cada uno. ¿Cuántos puntos tienen?,X=(3.0*7.0)
"Si hay 76 gomas de borrar en una caja y Patrick pone 9 gomas más dentro, ¿cuántas gomas hay en la caja?",X=(76.0+9.0)
Charles tiene 4 manzanas. Jessica le da a Charles 39 mas. ¿Cuántas manzanas tiene Charles en total?,X=(4.0+39.0)
"Ashley vendió 12 cajas de Samoas. ¿Cuántas cajas de 12 cajas, más las cajas extra necesita Ashley?",X=(12.0/12.0)
"Albert tiene 35 naranjas guardas en cajas. Su hay 7 cajas, ¿Cuantas naranjas debe haber en cada caja?",X=(35.0/7.0)
Hay 5 flores y 3 abejas. ¿Cuántas abejas hay menos que flores?,X=(5.0-3.0)
Ralph colecciona 4 cartas. El padre de Ralph le da a Ralph 8 más. ¿Cuántas cartas tiene Ralph?,X=(4.0+8.0)
"Shirley vendió 20 cajas de manzanas. ¿Cuántas lotes de 4 cajas, Shirley necesita entregar?",X=(20.0/4.0)
Martin se paseó hasta la casa de Lawrence. Son 12 millas desde la casa de Martin hasta la casa de Lawrence. A Martin le llevó 6 horas llegar allí. ¿A qué velocidad fue Martin?,X=(12.0/6.0)
"El lápiz de Isha tiene 31 pulgadas de largo. Si lo afila, ahora su lápiz mide 14 pulgadas de largo. ¿Cuánto ha sacado de su lápiz?",X=(31.0-14.0)
Nuestra clase obtuvo 54 libros de la biblioteca. Luego obtuvimos 23 libros más de la biblioteca. ¿Cuántos libros sacó nuestra clase de la biblioteca?,X=(54.0+23.0)
El cabello de Isabella tiene 18 pulgadas de largo.Para el final del año su cabello mide 24 pulgadas de largo. ¿Cuánto pelo le ha crecido?,X=(24.0-18.0)
"Si Teresa corría 25 kilómetros a 5 kilómetros por hora, ¿cuánto tiempo corría Teresa?",X=(25.0/5.0)
"Adam tiene 5 dólares para comprar un avión que cuesta 4,28 dólares. ¿Cuánto cambio recibirá?",X=(5.0-4.28)
Peter empieza con 8 borradores. Bridget le da a Peter 3 más. ¿Con cuántos borradores termina Peter?,X=(8.0+3.0)
Las cabezas de limón vienen en paquetes de 6. Louis se comió 54 cabezas de limón. ¿Cuántas cajas enteras se comió y cuántas cabezas de limón le quedan?,X=(54.0/6.0)
Hay 8 canicas en cada caja. ¿Cuantas canicas hay en 6 cajas?,X=(8.0*6.0)
"Si Madison vendió 24 cajas de galletas, ¿cuántas cajas de 12 cajas recoge Madison de la madre de las galletas?",X=(24.0/12.0)
"Annie tiene 6 manzanas. Ella recibe 6 más de Nathan. Más tarde, Annie compra 10 crayones en la tienda. ¿Cuántas manzanas tiene Annie en total?",X=(6.0+6.0)
Connie tiene 41 marcadores rojos y 64 azules. ¿Cuántos marcadores tiene en total?,X=(41.0+64.0)
Tim tenía 50 centavos. Pagó 45 centavos por una barra de caramelo. ¿Cuánto cambio recibirá?,X=(50.0-45.0)
"Hay 72 cartas en la coleccion de cartas de Jean. Si las cartas son organizadas en 9 grupos, ¿Cuan grande es cada grupo?",X=(72.0/9.0)
La Sra. Sheridan tiene 17 gatos. El Sr. Sheridan le dio 14 gatos más. ¿Cuántos gatos tiene la Sra. Sheridan en total?,X=(17.0+14.0)
Andrew comienza con 8 huevos. El compra 62 más. ¿Con cuántos huevos termina él?,X=(8.0+62.0)
Willie comienza con 36 etiquetas. El le da 7 a Emily. ¿Con cuantas etiquetas termina Willie?,X=(36.0-7.0)
Una tienda de dulces tiene 6 cajas de chocolates. Cada caja tiene 500 piezas. ¿Cuántas piezas hay en total en las cajas?,X=(6.0*500.0)
"Estás leyendo un libro de 120 páginas. Si quieres leer el mismo número de páginas cada noche, ¿cuántas tendrías que leer cada noche para terminar en 10 días?",X=(120.0/10.0)
Brenda tiene 34 manzans. She obtiene 37 mas de Willie. ¿Cuántas apples tiene Brenda en total?,X=(34.0+37.0)
Pedimos 21 pizzas. Cada pizza tiene 8 rebanadas. ¿Cuántas porciones de pizza hay en total?,X=(21.0*8.0)
Hay 4 cartas. Se añaden 3 cartas más. ¿Cuántas hay en total?,X=(4.0+3.0)
Michael tiene algunos peces en su pecera. Ben le dio 18 peces más. Ahora tiene 49. ¿Cuántos peces tenía para empezar?,X=(49.0-18.0)
Misha tiene 34 dólares. ¿Cuántos dólares más tiene que ganar para tener 47 dólares?,X=(47.0-34.0)
Roger tiene 92 bloques. 2 son comidos por un hipopotamo. ¿Con cuanos bloques termina Roger?,X=(92.0-2.0)
La escuela esta planeando una dia de campo. Hay 45 estudiantes y 9 puestos en el autobus. ¿Cuantos autobuses se necesitan para el dia de campo?,X=(45.0/9.0)
Cada taza contiene 8 onzas. ¿Cuántas onzas hay en 33 tazas?,X=(8.0*33.0)
Barbara tiene 9 caramelos. Ella compra 18 más. ¿Cuántos caramelos tiene Barbara en total?,X=(9.0+18.0)
Christine vagó 20 millas a 4 millas por hora. ¿Cuánto tiempo vagó Christine?,X=(20.0/4.0)
Hay 4 canicas. Se añaden 7 canicas más. ¿Cuántas hay en total?,X=(4.0+7.0)
La Sra. Hilt compró dos pizzas. Cada pizza tenía 8 rebanadas. ¿Cuántas porciones de pizza tenía en total?,X=(2.0*8.0)
Hay 38 libros en la estantería. Marta puso 10 libros más en el estante. ¿Cuántos libros hay en la estantería ahora?,X=(38.0+10.0)
Hay 4 creyones en cada caja. ¿Cuantos creyones hay en 3 cajas?,X=(4.0*3.0)
Había 27 niños y 35 niñas en el patio de recreo en el recreo. ¿Cuántos niños estaban en el patio de recreo en el recreo?,X=(27.0+35.0)
"Si Karen vendió 36 cajas de galletas, ¿Cuántos lotes de 12 cajas recoge Karen de la madre de las galletas?",X=(36.0/12.0)
Rachel se paseó hasta la casa de Nicholas. Son 10 millas desde la casa de Rachel hasta la casa de Nicholas. A Rachel le llevó 5 horas llegar allí. ¿Qué tan rápido fue Rachel?,X=(10.0/5.0)
Shawn tiene 13 bloques. Mildred tiene con 2 bloques. Mildred encuentra otros 84. ¿Con cuántos bloques termina Mildred?,X=(2.0+84.0)
La Sra. Hilt compró 3 pizzas por 8 dólares cada una. ¿Cuál fue la cantidad total que pagó por las tres pizzas?,X=(3.0*8.0)
Angela tiene 11 tickets. Annie le da a Angela 4 mas. ¿Cuántos tickets tiene Angela en total?,X=(11.0+4.0)
"Hay 10 pegatinas en una página. Si tienes 22 páginas de pegatinas, ¿cuántas pegatinas tienes?",X=(10.0*22.0)
"Si hay 7 tapas de botella en una caja y Linda pone 7 tapas más dentro, ¿cuántas tapas hay en la caja?",X=(7.0+7.0)
Cada ticket cuesta $9.00. ¿Cuanto cuestan 4 tickets?,X=(9.0*4.0)
La Sra. Franklin tuvo 58 San Valentín. La Sra. Franklin le dio algunas a sus estudiantes. Ahora tiene 16. ¿Cuántas tarjetas de San Valentín le dio la Sra. Franklin a sus alumnos?,X=(58.0-16.0)
John pesa 81 lirbas. Roy pesa 4 libras. ¿Cuan mas pesado es John que Roy?,X=(81.0-4.0)
Una caja de libros pesa 42 libras. Cada libro pesa 3 libras. ¿Cuántos libros hay en la caja?,X=(42.0/3.0)
Emily colecciona 63 cartas. El padre de Emily le da a Emily 7 más. Bruce tiene 13 manzanas. ¿Cuántas cartas tiene Emily?,X=(63.0+7.0)
A Katherine le llevó 3 horas correr hasta la casa de Louis a 8 millas por hora. ¿A qué distancia está la casa de Katherine y la de Louis?,X=(3.0*8.0)
Rachel toma 47 tapas de botella de a tarro. Habian 87 tapas de botella originalmente en el tarro. Cuantas tapas de botellas quedas en el tarro?,X=(87.0-47.0)
Robin tiene 27 paquetes de chicles. Hay 18 piezas en cada paquete. ¿Cuántos trozos de chicle tiene Robin?,X=(27.0*18.0)
Frank trabajó 8 horas los primeros 4 días de la semana. ¿Cuántas horas trabajó en total?,X=(8.0*4.0)
Charlie tiene 31 bolas de nieve más que Lucy. Ella tiene 19 bolas de nieve. ¿Cuántas tiene Charlie?,X=(31.0+19.0)
Dos pájaros estaban sentados en la valla. Cuatro pájaros más se unieron a ellos. ¿Cuántos pájaros están sentados en la valla?,X=(2.0+4.0)
Bobby tiene 142 libros. Kristi tiene 78 libros. ¿Cuántos libros más tiene Bobby que Kristi?,X=(142.0-78.0)
Brenda quiere separar su coleccion de borradores en grupos de 90. Brenda tiene 270 borradores. ¿Cuantos grupos seran creados?,X=(270.0/90.0)
Si Stephanie corrió durante 3 horas a 5 millas por hora. ¿Hasta dónde llegó Stephanie?,X=(3.0*5.0)
Brian tiene 76 tarjetas. Wayne se lleva 59. ¿Cuantas tarjetas tendra Brian?,X=(76.0-59.0)
Si Norma vagaba durante 5 horas a 3 millas por hora. ¿Hasta dónde llegó Norma?,X=(5.0*3.0)
Si Anne vagaba durante 3 horas a 2 millas por hora. ¿Hasta dónde llegó Anne?,X=(3.0*2.0)
Marie puede ir en bicicleta a una velocidad de 12 millas por hora. ¿Qué tan lejos puede ir en bicicleta en 31 horas?,X=(12.0*31.0)
"Bridget tiene 4 chicles. Henry tiene 4 chicles. Si Henry le da todos sus bolos a Bridget, ¿cuántos chicles tendrá Bridget?",X=(4.0+4.0)
Dorothy tiene 72 cartas. Ella le da 5 a Harold. ¿Cuantas tarjetas tendrá Dorothy?,X=(72.0-5.0)
Hay 14240 libros en una biblioteca. Están dispuestos en estantes que contienen 8 libros cada uno. ¿Cuántos estantes hay en la biblioteca?,X=(14240.0/8.0)
"Ashley vendió 12 cajas de Samoas. ¿Cuántas cajas de 12 cajas, más las cajas extra necesita Ashley",X=(12.0/12.0)
Había 14 niños en el campo de fútbol. 22 niños decidieron unirse. ¿Ahora cuántos niños están en el campo de fútbol?,X=(14.0+22.0)
"Evelyn tiene 95 canicas. Ella obtiene 9 más de Henry. Más tarde, Evelyn compra 6 cartas en la tienda. ¿Cuántas canicas tiene Evelyn en total?",X=(95.0+9.0)
Una receta de pastel requiere 0.6 taza de azúcar para el glaseado y 0.2 taza de azúcar para el pastel. ¿Cuánta azúcar es eso en total?,X=(0.6+0.2)
Hay 69 borradores en una caja. Jane tiene 15 borradores en una bolsa. Doris saca 54 borradores de la caja. ¿Cuántos borradores quedan en la caja?,X=(69.0-54.0)
Randy tiene 78 manzanas. Utiliza 19 bloques para construir una torre. ¿Cuántos bloques quedan?,X=(78.0-19.0)
Marilyn empieza con 51 tapas de botella. Comparte 36 con Nancy. ¿Con cuántas tapas de botella termina Marilyn?,X=(51.0-36.0)
A Carl le llevó 5 horas llegar a la casa de Ralph a 2 millas por hora. ¿A qué distancia está la casa de Carl y la de Ralph?,X=(5.0*2.0)
"Sean tiene 9 manzanas. Susan le da a Sean 8 más. Más tarde, Sean compra 18 entradas en la tienda. ¿Cuántas manzanas tiene Sean en total?",X=(9.0+8.0)
Marie comienza con 95 borradores. She pierde 42. ¿Con cuantos borradores termina Marie?,X=(95.0-42.0)
George tiene 2 cajas de bloques. Cada caja contiene 6 bloques y hay 5 cajas en una caja. ¿Cuántos bloques tiene George?,X=(2.0*6.0)
La Sra. Hilt compró un yoyo por 24 centavos y un silbato por 14 centavos. ¿Cuánto gastó en total para los dos juguetes?,X=(24.0+14.0)
Mildred pesa 59 libras. Carol pesa 9 libras. ¿Cuan mas pesada es Mildred que Carol?,X=(59.0-9.0)
Ruth comienza con 89 manzana. Ella comparte 5 con Peter. ¿Con cuantas manzanas termina Ruth?,X=(89.0-5.0)
Stephanie fue a la tienda 8 veces el ultimo mes. Ella compra 2 naranjas cada vez que va a la tienda. ¿Cuantas naranjas compro Stephanie el ultimo mes?,X=(8.0*2.0)
Se necesitan 4 manzanas para hacer un pastel. ¿Cuántas manzanas se necesitan para hacer 504 pasteles?,X=(4.0*504.0)
Un jardín tiene 52 filas y 15 columnas de planos de frijoles. ¿Cuántas plantas hay en total?,X=(52.0*15.0)
"Si Heather recorrió 40 kilómetros a 8 kilómetros por hora, ¿cuánto tiempo estuvo en bicicleta?",X=(40.0/8.0)
Connie tiene 39 canicas. Juan tiene 25 canicas más que Connie. ¿Cuántas canicas tiene Juan?,X=(39.0+25.0)
Hay 124 estudiantes haciendo 3 estrellas cada uno para la pared de la escuela. ¿Cuántas estrellas harán todos juntos?,X=(124.0*3.0)
"En la casa de la Sra. Hilt, había 29 pulgadas de nieve, y la Escuela Primaria Brecknock recibió 17 pulgadas de nieve. ¿Cuánta nieve más tenía la casa de la Sra. Hilt?",X=(29.0-17.0)
"La Sra. Hilt impresionó a 2436 fans en el partido de baloncesto del viernes. Si los aficionados estaban sentados en grupos iguales en 3 sets de gradas, ¿cuántos aficionados había en cada set?",X=(2436.0/3.0)
"Si Joan recorrió 25 millas en bicicleta a 5 millas por hora, ¿cuánto tiempo viajó Joan?",X=(25.0/5.0)
Amanda tardó 3 horas en llegar a la casa de Kimberly a 2 millas por hora. ¿A qué distancia está la casa de Amanda y la de Kimberly?,X=(3.0*2.0)
2 castores estaban trabajando en su casa. Uno fue a nadar. ¿Cuántos castores siguen trabajando en su casa?,X=(2.0-1.0)
La escuela esta planeando una dia de campo. Hay 180 estudiantes y 60 puestos en el autobus. ¿Cuantos buses se necesitan para el dia de campo?,X=(180.0/60.0)
Mildred colecciona 77 naranjas. El padre de Mildred le da a Mildred 2 más. ¿Cuántas naranjas tiene Mildred?,X=(77.0+2.0)
Cada tapa de botella cuesta $5.00. ¿Cuanto cuentan 5 tapas de botella?,X=(5.0*5.0)
"Harry Hound tuvo un terrible dolor de oídos ayer. Cuando me asomé a sus oídos ayer, encontré 36 pulgas juguetonas haciendo una fiesta en su oído derecho y 85 pulgas bebé durmiendo tranquilamente en su oído izquierdo. Limpié las orejas de Harry Hound. ¿Cuántas pulgas murieron?",X=(36.0+85.0)
Jennifer comienza con 7 manzanas. Ella encuentra otras 74. ¿Con cuantas manzanas termina Jennifer?,X=(7.0+74.0)
Hay dos plátanos en una pila en el escritorio. Cada banana viene en un paquete de 17. 7 bananas se añaden a la pila. ¿Cuántos plátanos hay en la pila?,X=(2.0+7.0)
La Sra. Hilt vio a tres bichos comerse dos flores cada uno. ¿Cuántas flores en total se comieron los bichos?,X=(3.0*2.0)
Donna pesa 69 libras. Willie pesa 51 libras. Cuan mas pesada es Donna que Willie?,X=(69.0-51.0)
"Jovana llenó su cubo con 5 libras de conchas. Si añade 12 libras más de conchas para llenar su cubo, ¿cuántas libras tiene?",X=(5.0+12.0)
Shirley empieza con 98 huevos. Ella compra 8 más. ¿Con cuántos huevos termina Shirley?,X=(98.0+8.0)
Maggi tenía 3 paquetes de magdalenas. Hay 4 magdalenas en cada paquete. Se comió 5 magdalenas. ¿Cuántos quedan?,X=(3.0*4.0)
